id,item,price,date,time,quantity
336,Wrap Jumpsuit,54.99,9/8/2024,3:31 PM,15
337,Peach Fruit Cups,1.99,11/20/2024,9:44 PM,2
338,Almond Flour Pancake Mix,5.99,8/28/2024,7:19 AM,13
339,Artisan Pickles,2.49,1/1/2024,12:43 AM,25
340,Children's Backpack,29.99,11/21/2024,9:45 PM,5
341,Beef Stew Meat,5.99,9/14/2024,8:19 AM,12
342,Smart Thermos,39.99,9/5/2024,5:46 AM,16
343,Stylish Combat Boots,99.99,7/13/2024,4:27 PM,19
344,Truffle Parmesan Fries,4.99,8/25/2024,3:30 AM,1
345,High-Low Hem Tee,22.99,4/15/2024,7:53 AM,18
346,Noise Cancelling Ear Muffs,24.99,6/11/2024,12:15 AM,1
347,Sliced Provolone Cheese,3.99,5/6/2024,8:25 PM,24
348,Coconut Rice,2.29,4/30/2024,3:02 AM,9
349,Outdoor Camping Lantern,34.99,10/23/2024,2:43 PM,8
350,Fitness Foam Roller,29.99,11/16/2024,9:33 AM,1
351,Beef Jerky,5.99,9/20/2024,8:52 AM,19
352,Vegan Tacos,7.49,10/24/2024,9:11 PM,1
353,Inspirational Wall Art,24.99,11/20/2024,1:46 AM,9
354,Vegan Taco Seasoning,2.49,9/11/2024,11:17 AM,12
355,Creative Puzzle Game,19.99,11/5/2024,9:59 AM,14
356,Electric Screwdriver,59.99,11/16/2024,11:57 PM,14
357,Cinnamon Sugar Tortilla Chips,3.29,11/10/2024,9:31 AM,1
358,Glass Tea Pot,34.99,3/4/2024,1:57 PM,5
359,Electric Milk Frother,19.99,5/26/2024,12:15 AM,18
360,Incense Holder,14.99,1/11/2024,11:17 AM,30
361,Spinach and Feta Wraps,4.99,5/31/2024,2:23 PM,23
362,Gardening Kneeler and Seat,39.99,1/11/2024,4:34 AM,7
363,Italian Meatballs,8.49,2/11/2024,11:54 AM,30
364,LED Desk Lamp with USB Charging Port,29.99,9/22/2024,9:14 PM,18
365,Interactive Robot Toy,34.99,9/30/2024,3:39 AM,16
366,Wireless Charging Pad,19.99,7/14/2024,7:16 AM,17
367,Banana Nut Oatmeal Cups,2.99,10/16/2024,3:43 PM,30
368,Portable Solar Path Lights,39.99,9/6/2024,4:58 PM,29
369,Sweet and Spicy Barbecue Sauce,3.99,4/26/2024,11:57 AM,18
370,Ice Cream Maker,79.99,12/3/2024,4:15 AM,16
371,Smart WiFi Plug,19.99,1/27/2024,4:42 AM,8
372,Wireless Car Charger,24.99,10/17/2024,9:09 AM,26
373,Fitness Tracker,49.99,2/25/2024,1:22 PM,7
374,Garden Vegetable Chips,3.49,9/8/2024,2:40 AM,24
375,Children's Gardening Set,19.99,7/27/2024,2:52 PM,21
376,Coconut Milk Yogurt,2.99,12/6/2024,3:18 AM,8
377,Organic Honeycrisp Apples,1.99,1/15/2024,3:41 PM,22
378,Cat Tree with Scratching Posts,79.99,6/26/2024,6:40 AM,22
379,Garlic Breadsticks,3.49,6/20/2024,12:50 PM,13
380,Cat Scratching Post with Toys,44.99,7/8/2024,11:58 PM,4
381,Outdoor Adventure Backpack,59.99,2/20/2024,5:17 PM,7
382,Kids' Outdoor Explorer Kit,24.99,7/5/2024,11:40 PM,4
383,Eco-Friendly Yoga Blocks,15.99,1/31/2024,7:02 PM,19
384,LED Flashlight,19.99,9/28/2024,6:43 PM,22
385,Handmade Soap Making Kit,34.99,11/9/2024,6:01 AM,30
386,Smartphone Projector,29.99,2/12/2024,1:48 PM,22
387,Paprika,1.79,1/19/2024,1:19 AM,24
388,Pet Camera with Treat Dispenser,149.99,7/22/2024,5:12 AM,21
389,Car Vacuum,49.99,12/9/2024,3:22 PM,26
390,Chickpea Salad Deluxe,4.29,3/17/2024,3:36 PM,28
391,Wooden Children's Play Kitchen,129.99,8/29/2024,7:33 AM,10
392,Banana Chips,1.99,12/30/2024,12:14 AM,5
393,Classic BBQ Sauce,2.79,5/21/2024,11:34 PM,26
394,Hiking Gaiters,29.99,5/7/2024,12:26 AM,22
395,Jasmine Rice,2.39,1/22/2025,9:42 AM,3
396,Silicone Wine Glasses,22.99,1/11/2024,12:55 PM,11
397,Rice Pilaf Mix,2.59,12/15/2024,8:56 AM,10
398,Belted Trench Coat,89.99,3/7/2024,12:04 AM,26
399,Homemade Salsa,3.79,1/6/2025,1:00 PM,13
400,Microfiber Cleaning Cloths,9.99,1/16/2024,12:30 AM,11
401,Foldable Electric Scooter,349.99,11/13/2024,11:06 AM,20
402,Educational STEM Kit,35.99,2/10/2024,11:06 AM,23
403,Adjustable Resistance Bands,39.99,10/27/2024,2:13 PM,30
404,DIY Candle Making Kit,22.99,8/24/2024,3:53 AM,23
405,Canvas Wall Art,39.99,5/3/2024,7:03 AM,16
406,Slim Fit Chinos,54.99,9/22/2024,10:23 AM,22
407,Sweet Cherry Tomatoes,2.99,10/30/2024,12:44 PM,12
408,Mediterranean Flatbread,3.5,5/27/2024,3:59 AM,22
409,Kitchen Knife Sharpening System,39.99,7/5/2024,11:22 AM,25
410,Plant-Based Meal Prep Containers,18.99,1/15/2025,8:37 AM,12
411,Pumpkin Spice Coffee,7.99,10/16/2024,5:01 PM,16
412,Lockable Bicycle Chain,19.99,3/12/2024,4:16 PM,23
413,Peach & Mango Salsa,4.49,6/14/2024,11:15 PM,27
414,Vanilla Protein Powder,24.99,2/20/2024,5:03 PM,12
415,Balsamic Salad Dressing,2.99,4/4/2024,7:29 PM,11
416,Beef Jerky,5.99,3/23/2024,4:14 PM,25
417,Fishing Rod,49.99,12/25/2024,9:15 PM,11
418,Oven Thermometer,11.99,1/14/2024,6:05 AM,15
419,Avocados,1.5,1/27/2024,7:56 PM,29
420,Air Fryer Oven,149.99,7/25/2024,4:29 AM,13
421,Quinoa and Kale Salad Kit,5.29,3/30/2024,8:33 AM,19
422,Travel Shoe Bags Set,15.99,6/8/2024,8:05 PM,16
423,Elderberry Syrup Kit,22.99,1/15/2025,9:44 AM,13
424,Maple Almond Yogurt,1.89,9/13/2024,1:27 AM,23
425,Sooji (Semolina),1.99,6/23/2024,12:32 PM,3
426,Athletic Compression Tights,39.99,3/6/2024,5:25 AM,24
427,Coconut Macaroons,4.99,1/30/2025,11:14 PM,14
428,Over-The-Door Shoe Organizer,25.99,10/5/2024,3:30 PM,18
429,Classic Beef Chili,7.99,12/18/2024,8:07 PM,4
430,Children's Backpack,29.99,5/26/2024,9:49 PM,24
431,Puffed Rice Cake,2.49,2/13/2024,5:30 AM,17
432,Portable Massage Table,199.99,1/14/2024,10:30 PM,14
433,Personal Blender,39.99,9/11/2024,7:15 AM,11
434,Car Emergency Kit,49.99,8/25/2024,11:19 AM,8
435,Cinnamon Ice Cream,4.99,8/4/2024,9:54 PM,23
436,Spicy Garlic Edamame,3.99,2/23/2024,7:13 AM,15
437,Feta Cheese Crumbles,2.49,5/29/2024,5:19 AM,12
438,Electric Heating Pad,20.99,9/6/2024,4:08 PM,20
439,Travel Document Organizer,15.99,11/7/2024,3:43 PM,23
440,Mechanical Pencil Set,19.99,1/29/2025,5:36 AM,25
441,Ceramic Knife Set,39.99,1/17/2025,10:13 AM,7
442,Gardening Gloves with Claws,24.99,8/2/2024,8:04 PM,8
443,Cheddar & Bacon Potato Skins,7.49,4/11/2024,6:15 AM,25
444,Heat-Resistant Silicone Mat,19.99,5/9/2024,7:27 AM,15
445,Wireless Gaming Headset,89.99,5/13/2024,2:37 PM,19
446,Zucchini Noodle Pasta,3.99,10/27/2024,5:48 PM,26
447,Apple Juice,3.29,10/24/2024,5:21 AM,2
448,Pet Grooming Gloves,9.99,1/15/2025,3:33 PM,9
449,Portable Pet Pooper Scooper,12.99,1/25/2025,2:44 PM,2
450,Maple Pecan Granola,4.49,1/29/2024,12:30 AM,30
451,Gardening Tools Set,45,9/22/2024,3:09 PM,2
452,Vegetable Spiralizer,19.99,9/10/2024,10:46 AM,29
453,Suction Cup Hooks,9.99,10/9/2024,10:55 AM,14
454,Maple Oatmeal,2.99,1/13/2024,6:23 AM,3
455,Coconut Oil,6.49,8/7/2024,11:42 PM,28
456,Classic Cheesecake Mix,4.99,7/4/2024,6:45 AM,13
457,Caramel Apple Taffy,1.99,1/30/2025,1:01 AM,8
458,Vegan Mac & Cheese,8.99,5/4/2024,3:12 PM,3
459,Bamboo Cutting Board,22,2/6/2024,8:11 PM,8
460,Cinnamon Ice Cream,4.99,11/26/2024,1:59 AM,4
461,Coconut Curry Sauce,3.89,1/30/2024,3:20 AM,7
462,Electric Stir Fry Pan,49.99,5/22/2024,8:25 PM,8
463,Scent Diffuser Oil,14.99,1/10/2024,9:07 AM,23
464,Fitness Tracker with Heart Rate Monitor,59.99,1/10/2024,4:32 PM,6
465,Smoked Salmon,14.99,1/31/2024,4:52 AM,29
466,Fitness Jump Box,69.99,1/16/2025,10:05 AM,20
467,Cucumber Lime Sparkling Water,1.49,10/16/2024,2:54 AM,11
468,Cocktail Shaker and Mixing Glass Set,39.99,7/6/2024,10:13 PM,11
469,Garlic Herb Seasoning,1.99,3/30/2024,9:56 AM,19
470,Portable Solar Path Lights,39.99,7/16/2024,5:52 PM,11
471,Strawberry Banana Smoothie Pack,4.99,11/21/2024,12:49 PM,9
472,Tactical Backpack,59.99,7/16/2024,1:50 PM,1
473,Tailored Blazer,99.99,1/8/2024,12:10 AM,8
474,Travel Beach Blanket,29.99,4/26/2024,6:32 AM,13
475,Pecan Pie Filling,3.99,2/11/2024,2:46 AM,29
476,Safety First Aid Kit,29.99,1/16/2025,7:54 AM,24
477,White Rice,1.49,3/21/2024,11:53 PM,13
478,Under Desk Footrest,29.99,1/26/2025,5:17 AM,12
479,Classic Caesar Salad Kit,4.99,2/26/2024,10:18 AM,24
480,Coconut Lime Rice,2.99,12/26/2024,5:29 AM,5
481,Chili Lime Shrimp,8.99,2/10/2024,3:42 AM,8
482,Vegetable Quinoa Bowl,5.99,12/26/2024,4:19 AM,18
483,Rechargeable Laptop Battery Pack,49.99,1/22/2024,9:39 PM,29
484,Cucumber Lime Sparkling Water,1.49,2/22/2024,4:45 PM,14
485,Sriracha Hot Chili Sauce,2.99,7/9/2024,6:58 PM,15
486,Handheld Garment Steamer,34.99,1/12/2024,11:50 PM,24
487,Peach Green Tea,3.49,2/6/2024,5:58 AM,24
488,Tomato Basil Soup,3.49,9/7/2024,7:18 PM,29
489,Pest Control Traps,22.99,7/21/2024,5:35 AM,10
490,Skincare Set,54.99,6/9/2024,4:07 PM,28
491,Smoked Paprika Chicken Thighs,6.99,2/24/2024,4:27 PM,5
492,Rechargeable Laptop Battery Pack,49.99,12/3/2024,6:22 PM,30
493,Peanut Butter Filled Pretzels,3.99,9/9/2024,2:18 AM,6
494,Bamboo Toothbrush Holder,14.99,4/5/2024,7:40 AM,11
495,Carrot and Celery Sticks,2.99,9/22/2024,9:46 PM,12
496,Mushrooms,2.99,1/14/2025,9:57 AM,4
497,Spaghetti and Meatball Dinner Kit,7.99,5/15/2024,7:03 AM,8
498,Vegetable Stir Fry Mix,3.29,2/18/2024,1:58 AM,11
499,Cinnamon Sugar Tortilla Chips,3.29,5/12/2024,12:27 AM,4
500,Margherita Pizza,7.99,9/7/2024,6:23 AM,20
501,Sliced Cucumbers,1.29,6/16/2024,3:36 AM,13
502,Chipotle Black Bean Burger,4.99,3/30/2024,4:06 PM,15
503,Organic Coconut Flakes,3.49,1/19/2024,7:22 AM,12
504,Digital Wireless Camera,199.99,7/13/2024,7:42 PM,23
505,Quinoa,4.49,11/27/2024,4:53 PM,29
506,Smart Thermostat with Wi-Fi,169.99,2/18/2024,11:28 AM,8
507,Eco-Friendly Cleaning Cloths,12.99,1/3/2025,5:25 PM,16
508,Fresh Basil,1.99,4/26/2024,9:43 PM,25
509,Canvas Wall Art,39.99,2/3/2024,8:53 AM,8
510,Savory Rice Cakes,2.5,10/23/2024,9:06 PM,19
511,Indoor Grill,59.99,1/12/2024,2:19 AM,8
512,Almond Flour Biscuits,6.49,8/6/2024,3:00 AM,8
513,Slingback Sandals,29.99,10/7/2024,3:10 PM,6
514,Organic Lentil Soup,4.99,6/12/2024,10:28 AM,21
515,Kids Tablet,129.99,3/30/2024,5:35 PM,24
516,Smoky BBQ Jackfruit,4.99,10/15/2024,9:12 AM,15
517,Dog Training Clicker,5.99,1/8/2025,5:53 AM,16
518,Peach Fruit Cups,1.99,1/8/2024,1:27 PM,15
519,Peanut Butter Chocolate Clusters,2.99,2/18/2024,5:21 PM,17
520,Digital Thermostat,59.99,8/27/2024,6:58 AM,7
521,Cold Brew Coffee Maker,34.99,1/28/2024,9:47 AM,3
522,Dark Chocolate Almond Butter Cups,4.99,1/2/2025,2:39 PM,19
523,Pet First Aid Kit,29.99,11/16/2024,5:18 PM,1
524,Garden Tool Set,34.99,9/1/2024,8:48 PM,19
525,Ground Cinnamon,1.99,5/18/2024,7:30 PM,15
526,Non-Slip Yoga Socks,12.99,10/28/2024,12:02 AM,6
527,Rustic Wooden Picture Frame,19.99,9/17/2024,4:11 PM,22
528,Hibiscus Herbal Tea,3.29,6/1/2024,8:37 AM,1
529,Portable Hammock with Stand,69.99,12/25/2024,8:29 AM,26
530,Multi-Cooker,89.99,9/20/2024,8:39 AM,24
531,Two-Tier Fruit Basket,29.99,7/26/2024,8:21 PM,29
532,Grilled Veggie Burgers,6.29,6/8/2024,7:24 PM,9
533,Vegetable Fried Rice,4.99,11/21/2024,2:57 AM,11
534,Peach Preserves,3.79,3/10/2024,12:45 PM,9
535,Multi-Functional Rice Cooker,49.99,8/9/2024,2:55 AM,6
536,Vegetable Stir-Fry Sauce,3.49,11/6/2024,5:24 AM,6
537,Thai Basil Fried Rice,5.99,12/12/2024,10:58 AM,4
538,Customizable Name Puzzle,29.99,7/14/2024,10:11 PM,29
539,Buffalo Sauce,2.99,8/3/2024,2:57 PM,16
540,Camera Tripod,49.99,1/8/2024,6:45 AM,2
541,Italian Pasta,2.29,8/1/2024,11:16 AM,11
542,Fresh Basil Pesto,4.79,3/21/2024,2:07 AM,24
543,Frozen Cauliflower Rice,2.99,5/10/2024,12:50 PM,1
544,Classic Bagels,2.99,1/16/2025,11:03 PM,6
545,Cinnamon Roll Dough,4.49,3/28/2024,2:50 PM,27
546,Wall Calendar,17.99,10/18/2024,8:05 PM,3
547,Pet Bed,39.99,5/29/2024,4:15 PM,8
548,Solar Garden Lights,39.99,7/12/2024,9:09 PM,20
549,LED Flashlight,19.99,5/22/2024,2:06 AM,6
550,Electric Griddle,54.99,1/12/2025,9:20 AM,23
551,Protein Bar Variety Pack,12.99,11/15/2024,3:47 PM,21
552,Portable Charcoal Grill,89.99,5/10/2024,5:44 PM,6
553,Pet Travel Backpack Carrier,49.99,4/18/2024,9:34 PM,2
554,Fruit Medley Juice,3.49,1/27/2024,1:53 PM,28
555,Artisan Bread Loaf,3.99,11/3/2024,7:05 AM,29
556,Electric Wax Warmer,22.99,3/1/2024,8:00 AM,2
557,Wine Decanter,34.99,5/31/2024,10:31 AM,10
558,Balsamic Vinegar,4.99,6/15/2024,2:38 AM,21
559,Glass Water Bottle,25.99,8/10/2024,12:49 PM,5
560,Creamy Garlic Mashed Potatoes,3.99,9/18/2024,11:45 AM,8
561,Instant Camera,89.99,11/30/2024,7:38 PM,8
562,Vanilla Protein Powder,24.99,8/23/2024,7:31 PM,1
563,Digital Food Thermometer,19.99,10/9/2024,6:15 AM,21
564,Matcha Green Tea Powder,14.99,4/21/2024,2:36 PM,25
565,Athletic Sports Bra,24.99,8/29/2024,2:20 AM,25
566,Wooden Blocks,24.99,12/12/2024,4:20 PM,18
567,Pasta Salad Kit,5.99,11/26/2024,1:28 PM,4
568,Vanilla Almond Granola,4.29,3/18/2024,1:02 AM,20
569,Pet Reflective Vest,18.99,2/17/2024,10:12 PM,6
570,Home Office Chair,199.99,7/5/2024,11:29 PM,22
571,Walnut Halves,8.49,10/10/2024,9:02 PM,4
572,Electric Rice Cooker with Steamer,49.99,1/20/2024,10:53 PM,3
573,Cold Brew Coffee Concentrate,7.99,11/5/2024,8:58 PM,22
574,Active Racerback Tank,24.99,1/5/2025,11:23 AM,21
575,Peach Fruit Cups,1.99,6/20/2024,3:26 AM,27
576,Lemon Pepper Seasoning,3.29,8/28/2024,6:10 AM,1
577,Chocolate Chip Muffins,3.99,6/8/2024,7:17 PM,30
578,Rustic Italian Bread,3.59,7/31/2024,11:25 PM,6
579,Electric Griddle,54.99,5/3/2024,3:00 PM,3
580,Cinnamon Sugar Mix,1.49,6/27/2024,5:24 PM,16
581,Bird Feeder,24.99,9/23/2024,7:15 AM,4
582,Electric Razor,59.99,10/25/2024,9:53 AM,10
583,Vanilla Bean Greek Yogurt,1.99,11/14/2024,11:11 AM,11
584,Cinnamon Roll Kit,6.89,1/6/2024,5:05 PM,10
585,Solar String Lights,29.99,4/15/2024,3:40 AM,29
586,Adjustable Skipping Rope,12.99,4/24/2024,6:57 AM,4
587,Educational STEM Kit,35.99,8/24/2024,2:59 AM,15
588,Hair Dryer,39.99,4/29/2024,6:01 PM,2
589,Chocolate Avocado Pudding,4.99,7/29/2024,10:24 PM,3
590,Portable Projector,199.99,8/3/2024,5:53 AM,24
591,Art Supplies Organizer,18.99,5/1/2024,6:00 PM,6
592,Vanilla Protein Powder,24.99,6/5/2024,8:01 PM,5
593,Compressible Packing Cubes,29.99,5/27/2024,3:29 PM,18
594,Digital Camera,299.99,7/1/2024,6:00 AM,18
595,Habanero Hot Sauce,3.79,5/8/2024,6:07 AM,13
596,Canvas Tote Bag,19.99,2/18/2024,9:59 PM,25
597,Garden Tool Set with Carrying Bag,39.99,2/13/2024,12:45 AM,2
598,Desk Organizer Set,29.99,10/25/2024,6:37 AM,18
599,Two-Tone Windbreaker,59.99,7/20/2024,9:15 PM,6
600,Adjustable Pet Grooming Table,109.99,4/7/2024,7:27 AM,30
601,Puzzle Mat,22.99,12/15/2024,11:15 PM,25
602,Halloween Decoration Set,29.99,6/13/2024,11:32 PM,17
603,Fitness Foam Roller,29.99,7/28/2024,4:41 AM,13
604,Beef Taco Skillet,8.49,4/27/2024,11:08 AM,14
605,Wall Decals for Kids,24.99,4/5/2024,4:08 AM,21
606,Poppy Seed Dressing,3.49,8/28/2024,7:38 PM,8
607,Fruit and Nut Energy Bites,2.99,3/5/2024,7:50 AM,25
608,Beef Stroganoff Meal Kit,12.99,9/27/2024,1:29 AM,3
609,Nail Polish Set,25,12/5/2024,12:54 PM,25
610,LED Flashlight,19.99,1/6/2025,4:26 AM,18
611,Travel Eye Mask with Ear Plugs,15.99,3/9/2024,8:06 PM,12
612,Electric Hot Pot,49.99,11/28/2024,3:21 PM,10
613,Teriyaki Stir-Fry Sauce,3.49,3/6/2024,5:22 PM,17
614,Smart Light Switch,29.99,10/14/2024,11:52 PM,6
615,Vanilla Almond Granola,4.29,1/6/2024,6:48 AM,26
616,Whole Wheat Pasta,2.49,3/2/2024,7:33 PM,9
617,Portable Solar Phone Charger,29.99,8/19/2024,11:40 AM,22
618,Electrolyte Water Bottle,34.99,8/20/2024,1:06 PM,9
619,Garlic Parmesan Roasted Nuts,4.89,2/25/2024,2:56 AM,21
620,Basketball,29.99,8/20/2024,1:12 PM,18
621,Body Wash,12.99,5/22/2024,4:40 AM,14
622,Dark Chocolate Raisins,3.49,6/8/2024,7:52 PM,2
623,Wild Rice Pilaf,3.79,1/17/2025,1:16 AM,14
624,Insulated Wine Tote,24.99,9/24/2024,10:11 PM,3
625,Electric Rice Cooker,39.99,2/15/2024,3:37 AM,8
626,Tuscan Bean Soup,2.49,10/26/2024,11:49 AM,16
627,Peanut Butter Banana Smoothie Mix,4.49,1/29/2024,11:15 PM,29
628,Sliced Ham,5.49,8/3/2024,10:45 PM,10
629,BBQ Sauce,3.49,11/23/2024,6:42 PM,6
630,Personal Safety Alarm,12.99,4/14/2024,6:48 AM,14
631,Compost Bin,29.99,4/28/2024,1:31 PM,6
632,Inflatable Paddle Board,349.99,11/12/2024,4:21 AM,27
633,Fridge Magnet Set,15.99,8/12/2024,2:49 PM,8
634,Honey Roasted Chickpeas,3.29,6/1/2024,1:25 PM,13
635,Indoor Plants,19.99,12/19/2024,2:09 PM,16
636,Rustic Italian Breads,3.99,10/28/2024,8:21 AM,13
637,Smart Plug,19.99,10/24/2024,8:04 PM,11
638,Organic Chia Seeds,7.99,2/22/2024,7:44 PM,5
639,Portable Solar Charger,29.99,11/11/2024,12:28 AM,15
640,Peach Mango Smoothie Mix,5.99,12/4/2024,8:02 PM,23
641,Sliced Olives,1.99,2/22/2024,5:02 AM,13
642,Arcade Game Machine,299.99,3/29/2024,5:14 AM,4
643,Electric Butter Churn,49.99,10/25/2024,9:24 AM,16
644,Training Soccer Ball,19.99,6/17/2024,5:03 PM,7
645,Organic Coconut Flakes,3.49,4/14/2024,6:27 AM,3
646,Honey Graham Crackers,3.29,3/29/2024,6:57 AM,7
647,Portable Hand Warmer,24.99,2/16/2024,5:54 AM,4
648,Mango Sticky Rice Dessert,4.5,5/29/2024,5:49 AM,7
649,Chocolate Peanut Butter Cups,2.29,2/26/2024,3:20 PM,30
650,Halloween Decoration Set,29.99,1/9/2025,7:06 AM,17
651,Portable Phone Charger,29.99,1/6/2025,2:30 PM,8
652,Organic Almond Flour,6.99,10/5/2024,8:13 PM,19
653,Patterned Knit Scarf,25.99,8/11/2024,11:22 AM,13
654,Lemonade Mix,1.99,7/19/2024,10:33 AM,27
655,Stick Vacuums Cleaner,129.99,11/29/2024,7:30 PM,25
656,High-Speed Blender,99.99,9/18/2024,8:41 PM,7
657,Tabletop Fire Pit,79.99,8/1/2024,1:18 PM,20
658,Glass Food Containers,34.99,7/23/2024,3:47 PM,11
659,High-Speed HDMI Cable,12.99,4/13/2024,10:29 AM,3
660,Oven-Baked Cheese Crisps,3.99,9/8/2024,1:12 AM,7
661,Artisan Flatbreads,2.99,7/29/2024,1:27 AM,30
662,Portable Charger with Solar Panel,45.99,6/1/2024,1:03 PM,5
663,Vegetable Quinoa Bowl,5.99,9/22/2024,1:34 AM,3
664,Vegetable Medley,2.99,10/22/2024,1:10 AM,30
665,Frozen Salmon Filets,12.99,3/29/2024,12:15 AM,2
666,Non-Stick Grill Pan,39.99,9/12/2024,6:31 PM,25
